Date : 2022-05-02 20:25:26
Directory : /home/leno/Desktop/me/storeNShare-mobile
Total : 86 files,  20746 codes, 28 comments, 553 blanks, all 21327 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src/features/home/user/screens                                                                                                      |         11 |        675 |          3 |        147 |        825 |
| src/features/home/user/screens/cluster-screens                                                                                      |          1 |         46 |          0 |         12 |         58 |
| src/features/home/user/screens/collection-screens                                                                                   |          3 |        207 |          1 |         47 |        255 |
| src/features/home/user/screens/item-screens                                                                                         |          3 |        114 |          0 |         31 |        145 |
| src/features/home/user/screens/list-screens                                                                                         |          3 |        211 |          1 |         42 |        254 |
| src/infrastructure                                                                                                                  |         12 |        287 |          0 |         39 |        326 |
| src/infrastructure/navigations                                                                                                      |          7 |        196 |          0 |         33 |        229 |
| src/infrastructure/theme                                                                                                            |          5 |         91 |          0 |          6 |         97 |
| src/services                                                                                                                        |          7 |        150 |          3 |         46 |        199 |
| src/services/auth                                                                                                                   |          3 |         56 |          3 |         21 |         80 |
| src/services/cluster                                                                                                                |          1 |         16 |          0 |          5 |         21 |
| src/services/collection                                                                                                             |          1 |         28 |          0 |          7 |         35 |
| src/services/item                                                                                                                   |          1 |         22 |          0 |          6 |         28 |
| src/services/list                                                                                                                   |          1 |         28 |          0 |          7 |         35 |
| src/utils                                                                                                                           |          2 |         18 |          3 |          0 |         21 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                            | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/leno/Desktop/me/storeNShare-mobile/.expo-shared/assets.json                                                                   | JSON             |          4 |          0 |          1 |          5 |
| /home/leno/Desktop/me/storeNShare-mobile/App.js                                                                                     | JavaScript       |         25 |          0 |         10 |         35 |
| /home/leno/Desktop/me/storeNShare-mobile/app.json                                                                                   | JSON             |         17 |         16 |          0 |         33 |
| /home/leno/Desktop/me/storeNShare-mobile/babel.config.js                                                                            | JavaScript       |          6 |          0 |          1 |          7 |
| /home/leno/Desktop/me/storeNShare-mobile/package-lock.json                                                                          | JSON             |     17,764 |          0 |          1 |     17,765 |
| /home/leno/Desktop/me/storeNShare-mobile/package.json                                                                               | JSON             |         38 |          0 |          1 |         39 |
| /home/leno/Desktop/me/storeNShare-mobile/src/api/auth.js                                                                            | JavaScript       |         13 |          0 |          4 |         17 |
| /home/leno/Desktop/me/storeNShare-mobile/src/api/cluster.js                                                                         | JavaScript       |         41 |          0 |          9 |         50 |
| /home/leno/Desktop/me/storeNShare-mobile/src/api/collection.js                                                                      | JavaScript       |         29 |          0 |          7 |         36 |
| /home/leno/Desktop/me/storeNShare-mobile/src/api/item.js                                                                            | JavaScript       |         23 |          0 |          6 |         29 |
| /home/leno/Desktop/me/storeNShare-mobile/src/api/list.js                                                                            | JavaScript       |         29 |          0 |          7 |         36 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/dialog/dialog.jsx                                                           | JavaScript React |         64 |          0 |          9 |         73 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/loading-indicator/loading-indicator.jsx                                     | JavaScript React |         24 |          0 |          4 |         28 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/spacer/spacer.jsx                                                           | JavaScript React |         33 |          0 |          9 |         42 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/add-box.js                                                        | JavaScript       |         23 |          0 |          4 |         27 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/add-circle.js                                                     | JavaScript       |         20 |          0 |          5 |         25 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/button.js                                                         | JavaScript       |         15 |          0 |          3 |         18 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/image.js                                                          | JavaScript       |          7 |          0 |          2 |          9 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/index.js                                                          | JavaScript       |          9 |          0 |          0 |          9 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/safe-area-container.js                                            | JavaScript       |          7 |          0 |          1 |          8 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/search-bar.js                                                     | JavaScript       |          5 |          0 |          1 |          6 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/text-input.js                                                     | JavaScript       |          6 |          0 |          1 |          7 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/text.js                                                           | JavaScript       |         69 |          0 |         15 |         84 |
| /home/leno/Desktop/me/storeNShare-mobile/src/components/utilities/view-container.js                                                 | JavaScript       |          9 |          0 |          2 |         11 |
| /home/leno/Desktop/me/storeNShare-mobile/src/context/user.context.jsx                                                               | JavaScript React |         38 |          0 |          8 |         46 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/auth/login/components/login.component.jsx                                     | JavaScript React |         51 |          0 |          6 |         57 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/auth/login/components/styles.js                                               | JavaScript       |          9 |          0 |          4 |         13 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/auth/login/screens/login.screen.jsx                                           | JavaScript React |         55 |          0 |         12 |         67 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/auth/register/components/register.component.jsx                               | JavaScript React |         70 |          0 |          6 |         76 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/auth/register/components/styles.js                                            | JavaScript       |         14 |          0 |          5 |         19 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/auth/register/screens/register.screen.jsx                                     | JavaScript React |         57 |          0 |         13 |         70 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/generic-components/check-passwords.jsx                                        | JavaScript React |         55 |          1 |         11 |         67 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/generic-components/dialog-buttons.jsx                                         | JavaScript React |         20 |          0 |          2 |         22 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/main/screens/main.screen.jsx                                             | JavaScript React |          7 |          0 |          2 |          9 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/settings/screens/settings.screen.jsx                                     | JavaScript React |         34 |          0 |         12 |         46 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/cluster-components/cluster.detail.component.jsx          | JavaScript React |         30 |          0 |          7 |         37 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/cluster-components/create-cluster.component.jsx          | JavaScript React |         39 |          0 |          7 |         46 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/collection-components/collection.styles.js               | JavaScript       |         27 |          0 |          5 |         32 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/collection-components/create-collection.component.jsx    | JavaScript React |         39 |          0 |          6 |         45 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/collection-components/my-collection-detail.component.jsx | JavaScript React |         29 |          0 |          7 |         36 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/collection-components/my-collections.components.jsx      | JavaScript React |        137 |          0 |         17 |        154 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/collection-components/update-collection.component.jsx    | JavaScript React |         50 |          0 |          6 |         56 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/dont-have.component.jsx                                  | JavaScript React |         15 |          0 |          6 |         21 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/item-components/create-item.component.jsx                | JavaScript React |         47 |          0 |          5 |         52 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/item-components/item-styles.js                           | JavaScript       |         31 |          0 |          6 |         37 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/item-components/my-item-detail.component.jsx             | JavaScript React |         44 |          0 |          5 |         49 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/item-components/my-items.components.jsx                  | JavaScript React |        123 |          0 |         15 |        138 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/item-components/update-item.component.jsx                | JavaScript React |         47 |          0 |          4 |         51 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/create-list.component.jsx                | JavaScript React |         39 |          0 |          6 |         45 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/lists-styles.js                          | JavaScript       |         31 |          0 |          7 |         38 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/my-list-detail.component.jsx             | JavaScript React |         28 |          0 |          5 |         33 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/my-lists.component.jsx                   | JavaScript React |         98 |          2 |         12 |        112 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/list-components/update-list.component.jsx                | JavaScript React |         50 |          0 |          6 |         56 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/components/styles.js                                                | JavaScript       |         22 |          0 |          5 |         27 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/cluster-screens/create-cluster.screen.jsx                   | JavaScript React |         46 |          0 |         12 |         58 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/collection-screens/create-collection.screen.jsx             | JavaScript React |         47 |          0 |         12 |         59 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/collection-screens/my-collection-detail.screen.jsx          | JavaScript React |        113 |          1 |         21 |        135 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/collection-screens/update-collection.screen.jsx             | JavaScript React |         47 |          0 |         14 |         61 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/item-screens/create-item.screen.jsx                         | JavaScript React |         51 |          0 |         13 |         64 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/item-screens/my-item-detail.screen.jsx                      | JavaScript React |         11 |          0 |          6 |         17 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/item-screens/update-item.screen.jsx                         | JavaScript React |         52 |          0 |         12 |         64 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/list-screens/create-list.screen.jsx                         | JavaScript React |         47 |          0 |         13 |         60 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/list-screens/my-list-detail.screen.jsx                      | JavaScript React |        112 |          1 |         17 |        130 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/list-screens/update-list.screen.jsx                         | JavaScript React |         52 |          0 |         12 |         64 |
| /home/leno/Desktop/me/storeNShare-mobile/src/features/home/user/screens/user-main.screen.jsx                                        | JavaScript React |         97 |          1 |         15 |        113 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/auth.navigator.jsx                                          | JavaScript React |         23 |          0 |          5 |         28 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/cluster.navigator.jsx                                       | JavaScript React |         28 |          0 |          3 |         31 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/collection.navigator.jsx                                    | JavaScript React |         33 |          0 |          4 |         37 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/home.navigator.jsx                                          | JavaScript React |         35 |          0 |          8 |         43 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/index.jsx                                                   | JavaScript React |         22 |          0 |          5 |         27 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/item.navigator.jsx                                          | JavaScript React |         24 |          0 |          5 |         29 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/navigations/list.navigator.jsx                                          | JavaScript React |         31 |          0 |          3 |         34 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/colors.js                                                         | JavaScript       |         50 |          0 |          2 |         52 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/fonts.js                                                          | JavaScript       |         21 |          0 |          2 |         23 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/index.js                                                          | JavaScript       |         14 |          0 |          1 |         15 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/sizes.js                                                          | JavaScript       |          1 |          0 |          0 |          1 |
| /home/leno/Desktop/me/storeNShare-mobile/src/infrastructure/theme/spacing.js                                                        | JavaScript       |          5 |          0 |          1 |          6 |
| /home/leno/Desktop/me/storeNShare-mobile/src/services/auth/login.service.js                                                         | JavaScript       |         26 |          3 |          9 |         38 |
| /home/leno/Desktop/me/storeNShare-mobile/src/services/auth/logout.service.js                                                        | JavaScript       |         19 |          0 |          7 |         26 |
| /home/leno/Desktop/me/storeNShare-mobile/src/services/auth/register.service.js                                                      | JavaScript       |         11 |          0 |          5 |         16 |
| /home/leno/Desktop/me/storeNShare-mobile/src/services/cluster/cluster.service.js                                                    | JavaScript       |         16 |          0 |          5 |         21 |
| /home/leno/Desktop/me/storeNShare-mobile/src/services/collection/collectoin.service.js                                              | JavaScript       |         28 |          0 |          7 |         35 |
| /home/leno/Desktop/me/storeNShare-mobile/src/services/item/item.service.js                                                          | JavaScript       |         22 |          0 |          6 |         28 |
| /home/leno/Desktop/me/storeNShare-mobile/src/services/list/list.service.js                                                          | JavaScript       |         28 |          0 |          7 |         35 |
| /home/leno/Desktop/me/storeNShare-mobile/src/utils/request-handler.js                                                               | JavaScript       |         11 |          3 |          0 |         14 |
| /home/leno/Desktop/me/storeNShare-mobile/src/utils/try-to-catch.js                                                                  | JavaScript       |          7 |          0 |          0 |          7 |
| Total                                                                                                                               |                  |     20,746 |         28 |        553 |     21,327 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
